camera,age,ram,cpu_score,slot_sd,sims,price
102,2,4,58,1,2,15226
179,3,16,87,0,2,45930
92,2,8,84,1,2,57358
14,1,16,75,0,2,29259
106,1,4,69,0,1,42087
71,2,16,94,1,1,9141
188,3,6,88,1,1,12627
20,3,12,94,0,2,64541
102,0,8,72,1,1,55269
121,3,12,57,0,2,10690
74,2,16,91,0,2,48091
87,1,8,88,1,2,11255
116,0,16,98,0,1,65433
99,0,6,67,0,2,13213
103,1,4,98,1,2,44876
151,3,8,86,1,1,27404
130,1,6,50,0,1,59009
149,3,6,96,1,2,33380
52,1,8,99,1,2,33520
1,2,16,93,1,1,27173
87,3,6,84,1,1,61027
157,2,12,72,0,1,31989
37,0,6,56,0,2,50570
129,1,16,45,0,1,32519
191,0,16,43,1,1,68267
187,0,12,59,1,1,30439
20,0,6,87,1,2,61034
160,0,16,86,1,1,19413
57,1,8,66,1,1,22995
21,0,4,54,1,1,31559
88,1,4,45,1,1,53351
48,1,4,86,0,1,31513
58,2,6,53,0,2,13021
169,3,12,99,1,2,40464
187,3,16,50,1,2,29119
14,1,8,78,1,1,59539
189,2,8,48,0,2,37299
189,1,6,65,0,2,47350
174,1,4,55,1,2,54223
189,1,6,44,1,1,33517
50,2,12,96,0,1,21117
107,3,12,91,0,2,30250
54,2,16,100,0,2,26950
63,0,16,49,0,1,25359
130,2,12,89,1,1,31596
50,2,12,42,0,2,33530
134,2,12,52,0,1,9262
20,2,6,82,1,2,62199
72,3,12,88,0,1,66287
166,0,8,69,0,2,67546
17,3,4,93,0,2,48150
131,3,12,84,1,1,30615
88,2,4,45,0,2,11327
59,1,6,56,1,2,62782
13,1,4,98,1,2,37768
8,3,6,84,0,1,36850
89,3,8,90,0,1,59411
52,2,6,92,0,1,50788
129,3,6,58,0,2,58409
83,2,16,81,1,1,24848
91,1,12,74,0,2,54830
110,1,12,85,0,2,60446
187,0,8,65,0,1,47542
198,1,8,90,1,1,23160
171,3,12,44,0,2,64583
7,1,16,68,0,2,41998
174,2,12,76,1,1,35230
34,1,16,59,1,1,17076
80,0,8,88,0,1,11805
163,1,4,60,0,2,39085
49,2,8,49,0,2,63571
103,2,8,44,0,2,22715
131,3,6,75,0,2,13750
1,1,6,45,1,2,56395
133,2,6,65,1,1,21232
53,0,6,43,0,1,61008
105,3,16,78,0,2,43903
3,0,12,78,1,2,14953
53,1,4,89,0,1,40093
190,1,8,74,0,1,33500
145,1,16,40,0,1,30418
43,3,4,63,0,1,61741
161,2,16,96,0,2,42314
189,3,16,75,1,1,56225
13,0,8,45,0,2,30449
94,3,12,80,0,1,25478
47,0,6,93,0,1,43179
14,3,12,85,1,1,59769
199,2,8,99,1,2,54881
189,0,8,83,1,2,33338
39,1,8,99,1,1,34899
81,1,4,96,0,2,12145
110,3,12,70,1,2,40101
52,1,12,59,0,1,10775
23,0,16,63,0,1,53961
153,1,16,64,1,2,39647
187,2,16,75,1,2,53619
123,2,8,60,1,2,53838
40,3,12,69,1,1,63780
156,0,8,63,1,1,27539
14,2,4,83,0,2,44738
44,2,16,81,1,1,65124
64,0,8,69,1,1,34616
88,1,8,61,1,2,22119
70,1,4,67,0,2,33159
8,3,6,46,1,1,62567
87,1,12,74,0,1,45099
128,0,6,94,1,2,18295
135,2,16,67,1,1,42710
62,1,8,53,0,1,69799
138,3,4,95,1,2,63178
80,1,4,49,0,2,32685
135,0,12,55,0,1,57343
162,3,6,55,0,1,33479
162,1,12,93,1,1,54172
32,3,8,70,1,2,41629
122,0,12,81,1,1,63863
4,2,4,64,0,1,50043
40,0,4,52,1,2,25033
27,0,16,45,0,2,44902
134,0,16,83,1,1,52571
200,0,8,48,0,2,23408
71,2,6,84,0,2,64739
11,2,12,75,0,1,65980
161,3,8,95,1,2,25420
32,1,16,82,0,2,24351
47,2,12,59,0,1,12131
150,2,16,57,0,2,59300
61,1,12,97,0,1,52825
36,2,6,82,0,1,19349
98,0,8,96,0,2,68931
171,0,12,60,1,2,52254
103,1,4,43,1,2,46225
34,3,4,89,0,1,46847
192,3,12,72,1,2,20453
100,1,12,66,1,1,26814
174,1,12,46,0,2,26263
130,0,4,45,0,2,20158
0,3,4,54,0,2,23735
4,2,12,57,1,1,23830
141,0,16,71,0,2,55893
102,1,16,95,1,2,52673
26,3,6,50,0,1,69470
136,2,8,59,1,1,31926
14,2,16,63,0,2,53066
89,0,4,54,0,2,42779
41,3,16,87,1,2,11373
123,3,6,46,1,1,18335
178,1,6,60,1,1,31741
62,3,8,81,1,1,18692
95,3,16,65,1,1,55295
51,0,4,83,1,2,53541
95,3,4,95,0,1,42057
131,2,12,53,1,1,9447
150,0,4,96,0,1,27583
142,0,8,76,0,2,30765
