State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Sex Ratio,literacy_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,5512,1001.4931399528475,54.112282803506005
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,8606,976.8262940816035,56.62524368143473
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,13763,996.9648895514505,63.915598802509976
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,22411,1005.8061523422299,63.80264152466215
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,19383,1002.7744075957552,60.56780404651324
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,149034,953.5181997200996,73.34309160066269
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,8831,1007.7993407060826,58.43940143035361
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,8628,1011.0669538486314,58.27738196949277
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,30438,992.347097414411,66.62503503122815
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,10081,987.7448660693489,52.47762222080231
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,6153,976.7146283675366,47.881386459703705
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,8635,991.6140850803989,53.972356070376435
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,7715,982.5346692639728,57.35536109887357
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,5261,1040.0218767815863,54.47383428675576
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,6151,981.2918862304084,56.054868242280676
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,3988,1014.6362404582713,55.32067829917643
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,4453,1018.5281327137774,52.82157106455435
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,12952,996.5974736270101,58.78941836418628
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,12050,1003.6286501523219,67.37139716218022
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,170,926.3138743047252,49.3665079000985
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,57,1029.4003868471953,48.861354682933026
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,450,979.6871258679862,63.07174390710988
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,95,1031.7754534622004,39.756288283591815
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,312,911.887799950145,56.998751080795465
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,207,927.7795601183474,58.89238165680474
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,381,984.3223478240088,65.1053835962905
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,2477,979.9174721356327,68.55408244748631
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,96,714.418030256252,52.169998199171616
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,98,943.8754253176863,42.843491850859564
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,97,888.8710626236697,51.514722536806346
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,139,998.371569519613,54.25893969897421
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,202,818.8061965117539,57.76501840446948
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,303,930.1677898500894,57.66784829969539
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,2078,953.4189000281428,52.9668367557814
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,2523,965.8558131861698,58.75414859692151
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,5316,959.4362529392384,67.61007176596797
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,1166,953.6140281480328,52.4543887991384
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,1192,953.4091200259644,61.65393589872517
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,8817,960.7751827968435,66.68986342062902
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,1364,964.1510095618089,55.90026810608788
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,3073,964.220553390247,67.6513373475004
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,1211,951.2148924206103,61.78802844245984
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,5651,961.6490512836631,72.7786343128351
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,3109,949.4130084872588,65.58757517090137
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,1923,950.9942529790867,58.26690633715113
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,1933,963.1836948602253,64.72744053403392
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,1218,958.7816429494044,55.15520626912039
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,1948,967.5064284824251,65.58504304136596
