date,price,year,month,quarter,month_sin,month_cos,lag_1,lag_2,lag_3,lag_6,lag_12,roll_mean_3,roll_mean_6,roll_mean_12,roll_std_3,roll_std_6,momentum_1,momentum_3,pct_change_1,pct_change_3,ewm_3,ewm_6,price_to_roll3,price_to_roll12,volatility_3
1834-01-01,18.93,1834,1,1,0.49999999999999994,0.8660254037844387,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1834-02-01,18.93,1834,2,1,0.8660254037844386,0.5000000000000001,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1834-03-01,18.93,1834,3,1,1.0,6.123233995736766e-17,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1834-04-01,18.93,1834,4,2,0.8660254037844387,-0.4999999999999998,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1834-05-01,18.93,1834,5,2,0.49999999999999994,-0.8660254037844387,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1834-06-01,18.93,1834,6,2,1.2246467991473532e-16,-1.0,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1834-07-01,18.93,1834,7,3,-0.4999999999999997,-0.8660254037844388,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1834-08-01,18.93,1834,8,3,-0.8660254037844384,-0.5000000000000004,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1834-09-01,18.93,1834,9,3,-1.0,-1.8369701987210297e-16,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1834-10-01,18.93,1834,10,4,-0.8660254037844386,0.5000000000000001,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1834-11-01,18.93,1834,11,4,-0.5000000000000004,0.8660254037844384,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1834-12-01,18.93,1834,12,4,-2.4492935982947064e-16,1.0,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1835-01-01,18.93,1835,1,1,0.49999999999999994,0.8660254037844387,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1835-02-01,18.93,1835,2,1,0.8660254037844386,0.5000000000000001,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1835-03-01,18.93,1835,3,1,1.0,6.123233995736766e-17,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1835-04-01,18.93,1835,4,2,0.8660254037844387,-0.4999999999999998,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1835-05-01,18.93,1835,5,2,0.49999999999999994,-0.8660254037844387,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1835-06-01,18.93,1835,6,2,1.2246467991473532e-16,-1.0,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1835-07-01,18.93,1835,7,3,-0.4999999999999997,-0.8660254037844388,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1835-08-01,18.93,1835,8,3,-0.8660254037844384,-0.5000000000000004,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1835-09-01,18.93,1835,9,3,-1.0,-1.8369701987210297e-16,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1835-10-01,18.93,1835,10,4,-0.8660254037844386,0.5000000000000001,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1835-11-01,18.93,1835,11,4,-0.5000000000000004,0.8660254037844384,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1835-12-01,18.93,1835,12,4,-2.4492935982947064e-16,1.0,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1836-01-01,18.93,1836,1,1,0.49999999999999994,0.8660254037844387,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1836-02-01,18.93,1836,2,1,0.8660254037844386,0.5000000000000001,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1836-03-01,18.93,1836,3,1,1.0,6.123233995736766e-17,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1836-04-01,18.93,1836,4,2,0.8660254037844387,-0.4999999999999998,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1836-05-01,18.93,1836,5,2,0.49999999999999994,-0.8660254037844387,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1836-06-01,18.93,1836,6,2,1.2246467991473532e-16,-1.0,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1836-07-01,18.93,1836,7,3,-0.4999999999999997,-0.8660254037844388,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1836-08-01,18.93,1836,8,3,-0.8660254037844384,-0.5000000000000004,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1836-09-01,18.93,1836,9,3,-1.0,-1.8369701987210297e-16,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1836-10-01,18.93,1836,10,4,-0.8660254037844386,0.5000000000000001,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1836-11-01,18.93,1836,11,4,-0.5000000000000004,0.8660254037844384,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1836-12-01,18.93,1836,12,4,-2.4492935982947064e-16,1.0,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1837-01-01,18.93,1837,1,1,0.49999999999999994,0.8660254037844387,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1837-02-01,18.93,1837,2,1,0.8660254037844386,0.5000000000000001,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1837-03-01,18.93,1837,3,1,1.0,6.123233995736766e-17,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1837-04-01,18.93,1837,4,2,0.8660254037844387,-0.4999999999999998,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1837-05-01,18.93,1837,5,2,0.49999999999999994,-0.8660254037844387,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1837-06-01,18.93,1837,6,2,1.2246467991473532e-16,-1.0,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1837-07-01,18.93,1837,7,3,-0.4999999999999997,-0.8660254037844388,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1837-08-01,18.93,1837,8,3,-0.8660254037844384,-0.5000000000000004,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
1837-09-01,18.93,1837,9,3,-1.0,-1.8369701987210297e-16,18.93,18.93,18.93,18.93,18.93,18.93,18.93,18.93,0.0,0.0,0.0,0.0,0.0,0.0,18.93,18.93,1.0,1.0,0.0
